dgns_cd,longdesc,shortdesc,version,fyear,,
Infectious disease specialist,Cholera due to vibrio cholerae,Cholera d/t vib cholerae,32,2015,,
Infectious disease specialist,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor,32,2015,,
Infectious disease specialist,"Cholera, unspecified",Cholera NOS,32,2015,,
Infectious disease specialist,Typhoid fever,Typhoid fever,32,2015,,
Infectious disease specialist,Paratyphoid fever A,Paratyphoid fever a,32,2015,,
Infectious disease specialist,Paratyphoid fever B,Paratyphoid fever b,32,2015,,
Infectious disease specialist,Paratyphoid fever C,Paratyphoid fever c,32,2015,,
Infectious disease specialist,"Paratyphoid fever, unspecified",Paratyphoid fever NOS,32,2015,,
Infectious disease specialist,Salmonella gastroenteritis,Salmonella enteritis,32,2015,,
Infectious disease specialist,Salmonella septicemia,Salmonella septicemia,32,2015,,
Infectious disease specialist,"Localized salmonella infection, unspecified",Local salmonella inf NOS,32,2015,,
Infectious disease specialist,Salmonella meningitis,Salmonella meningitis,32,2015,,
Infectious disease specialist,Salmonella pneumonia,Salmonella pneumonia,32,2015,,
Infectious disease specialist,Salmonella arthritis,Salmonella arthritis,32,2015,,
Infectious disease specialist,Salmonella osteomyelitis,Salmonella osteomyelitis,32,2015,,
Infectious disease specialist,Other localized salmonella infections,Local salmonella inf NEC,32,2015,,
Infectious disease specialist,Other specified salmonella infections,Salmonella infection NEC,32,2015,,
Dermatologist,Fungal infection,Salmonella infection NOS,32,2015,,
Infectious disease specialist,Chicken pox,Shigella dysenteriae,32,2015,,
Infectious disease specialist,Shigella flexneri,Shigella flexneri,32,2015,,
Infectious disease specialist,Shigella boydii,Shigella boydii,32,2015,,
Infectious disease specialist,Shigella sonnei,Shigella sonnei,32,2015,,
Infectious disease specialist,Other specified shigella infections,Shigella infection NEC,32,2015,,
Infectious disease specialist,"Shigellosis, unspecified",Shigellosis NOS,32,2015,,
Infectious disease specialist,Staphylococcal food poisoning,Staph food poisoning,32,2015,,
Infectious disease specialist,Botulism food poisoning,Botulism food poisoning,32,2015,,
Infectious disease specialist,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin,32,2015,,
Infectious disease specialist,Food poisoning due to other Clostridia,Food pois: clostrid NEC,32,2015,,
Infectious disease specialist,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem,32,2015,,
Infectious disease specialist,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif,32,2015,,
Infectious disease specialist,Other bacterial food poisoning,Bact food poisoning NEC,32,2015,,
Infectious disease specialist,"Food poisoning, unspecified",Food poisoning NOS,32,2015,,
Infectious disease specialist,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess,32,2015,,
Infectious disease specialist,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces,32,2015,,
Infectious disease specialist,Amebic nondysenteric colitis,Amebic nondysent colitis,32,2015,,
Infectious disease specialist,Amebic liver abscess,Amebic liver abscess,32,2015,,
Infectious disease specialist,Amebic lung abscess,Amebic lung abscess,32,2015,,
Infectious disease specialist,Amebic brain abscess,Amebic brain abscess,32,2015,,
Infectious disease specialist,Amebic skin ulceration,Amebic skin ulceration,32,2015,,
Infectious disease specialist,Amebic infection of other sites,Amebic infection NEC,32,2015,,
Infectious disease specialist,"Amebiasis, unspecified",Amebiasis NOS,32,2015,,
Infectious disease specialist,Balantidiasis,Balantidiasis,32,2015,,
Infectious disease specialist,Giardiasis,Giardiasis,32,2015,,
Infectious disease specialist,Coccidiosis,Coccidiosis,32,2015,,
Infectious disease specialist,Intestinal trichomoniasis,Intest trichomoniasis,32,2015,,
